system,lig,RMSDi,RMSDf,idx
BRD4,ligand-1,14.53332,0.09029,0
BRD4,ligand-2,3.48216,0.05988,1
BRD4,ligand-3,16.62793,0.02556,2
BRD4,ligand-4,16.26045,0.08872,3
BRD4,ligand-5,7.33152,0.03364,4
BRD4,ligand-6,19.50320,0.03355,5
BRD4,ligand-7,21.96892,0.02039,6
BRD4,ligand-8,3.88834,0.04176,7
BRD4,ligand-9,7.50259,0.04172,8
BRD4,ligand-10,23.96117,0.02885,9
CDK2,CS1,7.76049,0.02218,0
CDK2,CS3,33.73753,0.06309,1
CDK2,CS4,45.84626,0.03907,2
CDK2,CS9,21.32396,0.03476,3
CDK2,CS11,45.38319,0.03665,4
CDK2,CS18,52.59247,0.03798,5
CDK2,CS19,40.70418,0.03672,6
CDK2,CS20,53.75269,0.02228,7
CDK2,CS241,9.98424,0.05373,8
CDK2,CS242,18.09239,0.03614,9
CDK2,CS245,8.53487,0.04843,10
CDK2,CS246,47.37760,0.04862,11
CDK2,CS248,22.94933,0.04562,12
CDK2,CS260,19.27760,0.04386,13
CDK2,CS261,52.70932,0.04729,14
CDK2,CS262,8.98557,0.02237,15
